t =     0.1797
           x          rho            u            p
    -1.00000      1.00000     -2.00000      0.40000
    -0.98000      1.00000     -2.00000      0.40000
    -0.96000      1.00000     -2.00000      0.40000
    -0.94000      1.00000     -2.00000      0.40000
    -0.92000      1.00000     -2.00000      0.40000
    -0.90000      0.99999     -2.00000      0.40000
    -0.88000      0.99998     -1.99999      0.39999
    -0.86000      0.99997     -1.99998      0.39998
    -0.84000      0.99993     -1.99995      0.39996
    -0.82000      0.99986     -1.99989      0.39992
    -0.80000      0.99971     -1.99979      0.39984
    -0.78000      0.99945     -1.99959      0.39969
    -0.76000      0.99897     -1.99923      0.39943
    -0.74000      0.99816     -1.99862      0.39897
    -0.72000      0.99680     -1.99761      0.39822
    -0.70000      0.99462     -1.99600      0.39701
    -0.68000      0.99126     -1.99351      0.39516
    -0.66000      0.98627     -1.98981      0.39243
    -0.64000      0.97910     -1.98452      0.38854
    -0.62000      0.96918     -1.97721      0.38321
    -0.60000      0.95590     -1.96743      0.37617
    -0.58000      0.93867     -1.95473      0.36718
    -0.56000      0.91703     -1.93873      0.35610
    -0.54000      0.89060     -1.91906      0.34284
    -0.52000      0.85919     -1.89545      0.32746
    -0.50000      0.82280     -1.86770      0.31009
    -0.48000      0.78165     -1.83564      0.29098
    -0.46000      0.73613     -1.79921      0.27046
    -0.44000      0.68685     -1.75834      0.24889
    -0.42000      0.63454     -1.71302      0.22669
    -0.40000      0.58010     -1.66324      0.20429
    -0.38000      0.52448     -1.60902      0.18207
    -0.36000      0.46869     -1.55033      0.16043
    -0.34000      0.41371     -1.48717      0.13968
    -0.32000      0.36048     -1.41950      0.12012
    -0.30000      0.30986     -1.34725      0.10197
    -0.28000      0.26256     -1.27032      0.08539
    -0.26000      0.21914     -1.18859      0.07048
    -0.24000      0.18000     -1.10186      0.05729
    -0.22000      0.14537     -1.00990      0.04581
    -0.20000      0.11531     -0.91240      0.03600
    -0.18000      0.08973     -0.80898      0.02777
    -0.16000      0.06839     -0.69936      0.02098
    -0.14000      0.05090     -0.58385      0.01547
    -0.12000      0.03698     -0.46139      0.01112
    -0.10000      0.02620     -0.33171      0.00779
    -0.08000      0.01815     -0.19634      0.00535
    -0.06000      0.01244     -0.06424      0.00367
    -0.04000      0.00875      0.03126      0.00270
    -0.02000      0.00659      0.03148      0.00239
     0.00000      0.00659     -0.03148      0.00239
     0.02000      0.00875     -0.03126      0.00270
     0.04000      0.01244      0.06424      0.00367
     0.06000      0.01815      0.19634      0.00535
     0.08000      0.02620      0.33171      0.00779
     0.10000      0.03698      0.46139      0.01112
     0.12000      0.05090      0.58385      0.01547
     0.14000      0.06839      0.69936      0.02098
     0.16000      0.08973      0.80898      0.02777
     0.18000      0.11531      0.91240      0.03600
     0.20000      0.14537      1.00990      0.04581
     0.22000      0.18000      1.10186      0.05729
     0.24000      0.21914      1.18859      0.07048
     0.26000      0.26256      1.27032      0.08539
     0.28000      0.30986      1.34725      0.10197
     0.30000      0.36048      1.41950      0.12012
     0.32000      0.41371      1.48717      0.13968
     0.34000      0.46869      1.55033      0.16043
     0.36000      0.52448      1.60902      0.18207
     0.38000      0.58010      1.66324      0.20429
     0.40000      0.63454      1.71302      0.22669
     0.42000      0.68685      1.75834      0.24889
     0.44000      0.73613      1.79921      0.27046
     0.46000      0.78165      1.83564      0.29098
     0.48000      0.82280      1.86770      0.31009
     0.50000      0.85919      1.89545      0.32746
     0.52000      0.89060      1.91906      0.34284
     0.54000      0.91703      1.93873      0.35610
     0.56000      0.93867      1.95473      0.36718
     0.58000      0.95590      1.96743      0.37617
     0.60000      0.96918      1.97721      0.38321
     0.62000      0.97910      1.98452      0.38854
     0.64000      0.98627      1.98981      0.39243
     0.66000      0.99126      1.99351      0.39516
     0.68000      0.99462      1.99600      0.39701
     0.70000      0.99680      1.99761      0.39822
     0.72000      0.99816      1.99862      0.39897
     0.74000      0.99897      1.99923      0.39943
     0.76000      0.99945      1.99959      0.39969
     0.78000      0.99971      1.99979      0.39984
     0.80000      0.99986      1.99989      0.39992
     0.82000      0.99993      1.99995      0.39996
     0.84000      0.99997      1.99998      0.39998
     0.86000      0.99998      1.99999      0.39999
     0.88000      0.99999      2.00000      0.40000
     0.90000      1.00000      2.00000      0.40000
     0.92000      1.00000      2.00000      0.40000
     0.94000      1.00000      2.00000      0.40000
     0.96000      1.00000      2.00000      0.40000
     0.98000      1.00000      2.00000      0.40000
