t =     0.0154
           x          rho            u            p
    -1.00000      1.00000     -2.00000      0.40000
    -0.98000      1.00000     -2.00000      0.40000
    -0.96000      1.00000     -2.00000      0.40000
    -0.94000      1.00000     -2.00000      0.40000
    -0.92000      1.00000     -2.00000      0.40000
    -0.90000      1.00000     -2.00000      0.40000
    -0.88000      1.00000     -2.00000      0.40000
    -0.86000      1.00000     -2.00000      0.40000
    -0.84000      1.00000     -2.00000      0.40000
    -0.82000      1.00000     -2.00000      0.40000
    -0.80000      1.00000     -2.00000      0.40000
    -0.78000      1.00000     -2.00000      0.40000
    -0.76000      1.00000     -2.00000      0.40000
    -0.74000      1.00000     -2.00000      0.40000
    -0.72000      1.00000     -2.00000      0.40000
    -0.70000      1.00000     -2.00000      0.40000
    -0.68000      1.00000     -2.00000      0.40000
    -0.66000      1.00000     -2.00000      0.40000
    -0.64000      1.00000     -2.00000      0.40000
    -0.62000      1.00000     -2.00000      0.40000
    -0.60000      1.00000     -2.00000      0.40000
    -0.58000      1.00000     -2.00000      0.40000
    -0.56000      1.00000     -2.00000      0.40000
    -0.54000      1.00000     -2.00000      0.40000
    -0.52000      1.00000     -2.00000      0.40000
    -0.50000      1.00000     -2.00000      0.40000
    -0.48000      1.00000     -2.00000      0.40000
    -0.46000      1.00000     -2.00000      0.40000
    -0.44000      1.00000     -2.00000      0.40000
    -0.42000      1.00000     -2.00000      0.40000
    -0.40000      1.00000     -2.00000      0.40000
    -0.38000      1.00000     -2.00000      0.40000
    -0.36000      1.00000     -2.00000      0.40000
    -0.34000      1.00000     -2.00000      0.40000
    -0.32000      1.00000     -2.00000      0.40000
    -0.30000      1.00000     -2.00000      0.40000
    -0.28000      1.00000     -2.00000      0.40000
    -0.26000      1.00000     -2.00000      0.40000
    -0.24000      1.00000     -2.00000      0.40000
    -0.22000      1.00000     -2.00000      0.40000
    -0.20000      1.00000     -2.00000      0.40000
    -0.18000      0.99996     -1.99997      0.39998
    -0.16000      0.99976     -1.99984      0.39988
    -0.14000      0.99866     -1.99912      0.39933
    -0.12000      0.99375     -1.99616      0.39701
    -0.10000      0.97571     -1.98630      0.38891
    -0.08000      0.92148     -1.96035      0.36588
    -0.06000      0.79069     -1.90578      0.31275
    -0.04000      0.54743     -1.81139      0.21640
    -0.02000      0.22845     -1.67163      0.09064
     0.00000      0.22845      1.67163      0.09064
     0.02000      0.54743      1.81139      0.21640
     0.04000      0.79069      1.90578      0.31275
     0.06000      0.92148      1.96035      0.36588
     0.08000      0.97571      1.98630      0.38891
     0.10000      0.99375      1.99616      0.39701
     0.12000      0.99866      1.99912      0.39933
     0.14000      0.99976      1.99984      0.39988
     0.16000      0.99996      1.99997      0.39998
     0.18000      1.00000      2.00000      0.40000
     0.20000      1.00000      2.00000      0.40000
     0.22000      1.00000      2.00000      0.40000
     0.24000      1.00000      2.00000      0.40000
     0.26000      1.00000      2.00000      0.40000
     0.28000      1.00000      2.00000      0.40000
     0.30000      1.00000      2.00000      0.40000
     0.32000      1.00000      2.00000      0.40000
     0.34000      1.00000      2.00000      0.40000
     0.36000      1.00000      2.00000      0.40000
     0.38000      1.00000      2.00000      0.40000
     0.40000      1.00000      2.00000      0.40000
     0.42000      1.00000      2.00000      0.40000
     0.44000      1.00000      2.00000      0.40000
     0.46000      1.00000      2.00000      0.40000
     0.48000      1.00000      2.00000      0.40000
     0.50000      1.00000      2.00000      0.40000
     0.52000      1.00000      2.00000      0.40000
     0.54000      1.00000      2.00000      0.40000
     0.56000      1.00000      2.00000      0.40000
     0.58000      1.00000      2.00000      0.40000
     0.60000      1.00000      2.00000      0.40000
     0.62000      1.00000      2.00000      0.40000
     0.64000      1.00000      2.00000      0.40000
     0.66000      1.00000      2.00000      0.40000
     0.68000      1.00000      2.00000      0.40000
     0.70000      1.00000      2.00000      0.40000
     0.72000      1.00000      2.00000      0.40000
     0.74000      1.00000      2.00000      0.40000
     0.76000      1.00000      2.00000      0.40000
     0.78000      1.00000      2.00000      0.40000
     0.80000      1.00000      2.00000      0.40000
     0.82000      1.00000      2.00000      0.40000
     0.84000      1.00000      2.00000      0.40000
     0.86000      1.00000      2.00000      0.40000
     0.88000      1.00000      2.00000      0.40000
     0.90000      1.00000      2.00000      0.40000
     0.92000      1.00000      2.00000      0.40000
     0.94000      1.00000      2.00000      0.40000
     0.96000      1.00000      2.00000      0.40000
     0.98000      1.00000      2.00000      0.40000
