t =     0.0128
           x          rho            u            p
    -1.00000      1.00000      0.00000    999.99987
    -0.98000      1.00000      0.00001    999.99970
    -0.96000      1.00000      0.00002    999.99929
    -0.94000      1.00000      0.00004    999.99840
    -0.92000      1.00000      0.00009    999.99649
    -0.90000      0.99999      0.00020    999.99246
    -0.88000      0.99999      0.00042    999.98424
    -0.86000      0.99998      0.00086    999.96794
    -0.84000      0.99995      0.00170    999.93655
    -0.82000      0.99991      0.00326    999.87784
    -0.80000      0.99984      0.00611    999.77137
    -0.78000      0.99970      0.01112    999.58418
    -0.76000      0.99948      0.01964    999.26536
    -0.74000      0.99910      0.03370    998.73970
    -0.72000      0.99850      0.05614    997.90112
    -0.70000      0.99757      0.09080    996.60740
    -0.68000      0.99619      0.14255    994.67774
    -0.66000      0.99420      0.21733    991.89522
    -0.64000      0.99142      0.32188    988.01543
    -0.62000      0.98766      0.46347    982.78144
    -0.60000      0.98273      0.64940    975.94382
    -0.58000      0.97648      0.88649    967.28278
    -0.56000      0.96876      1.18059    956.62885
    -0.54000      0.95949      1.53623    943.87849
    -0.52000      0.94861      1.95635    929.00242
    -0.50000      0.93615      2.44225    912.04588
    -0.48000      0.92215      2.99370    893.12183
    -0.46000      0.90672      3.60911    872.39912
    -0.44000      0.88997      4.28582    850.08805
    -0.42000      0.87207      5.02034    826.42558
    -0.40000      0.85317      5.80858    801.66204
    -0.38000      0.83344      6.64612    776.05021
    -0.36000      0.81305      7.52825    749.83736
    -0.34000      0.79217      8.45012    723.26029
    -0.32000      0.77095      9.40669    696.54322
    -0.30000      0.74956     10.39267    669.89818
    -0.28000      0.72814     11.40232    643.52801
    -0.26000      0.70687     12.42914    617.63187
    -0.24000      0.68592     13.46540    592.41382
    -0.22000      0.66547     14.50143    568.09500
    -0.20000      0.64577     15.52455    544.93056
    -0.18000      0.62710     16.51766    523.23152
    -0.16000      0.60984     17.45752    503.38915
    -0.14000      0.59445     18.31337    485.89130
    -0.12000      0.58150     19.04764    471.30237
    -0.10000      0.57150     19.62203    460.15658
    -0.08000      0.56475     20.01169    452.72540
    -0.06000      0.56103     20.22293    448.73882
    -0.04000      0.55960     20.29807    447.32465
    -0.02000      0.55943     20.29605    447.35708
     0.00000      0.55973     20.26385    447.95414
     0.02000      0.56012     20.22510    448.67450
     0.04000      0.56064     20.18735    449.37631
     0.06000      0.56195     20.15235    450.02722
     0.08000      0.56628     20.12051    450.62038
     0.10000      0.57902     20.09185    451.15890
     0.12000      0.61071     20.06608    451.65618
     0.14000      0.67829     20.04276    452.13536
     0.16000      0.80420     20.02110    452.62012
     0.18000      1.01230     19.99778    453.07188
     0.20000      1.32065     19.95896    453.08827
     0.22000      1.73126     19.86296    451.00235
     0.24000      2.21553     19.61624    442.29327
     0.26000      2.69511     19.04727    418.32195
     0.28000      3.02653     17.88960    367.08076
     0.30000      3.02439     15.74937    279.57925
     0.32000      2.57634     12.10690    163.76385
     0.34000      1.83774      6.75678     57.63809
     0.36000      1.24498      1.70657      7.11386
     0.38000      1.03243      0.09102      0.12709
     0.40000      1.00147      0.00054      0.01010
     0.42000      1.00000      0.00000      0.01000
     0.44000      1.00000      0.00000      0.01000
     0.46000      1.00000      0.00000      0.01000
     0.48000      1.00000      0.00000      0.01000
     0.50000      1.00000      0.00000      0.01000
     0.52000      1.00000      0.00000      0.01000
     0.54000      1.00000      0.00000      0.01000
     0.56000      1.00000      0.00000      0.01000
     0.58000      1.00000      0.00000      0.01000
     0.60000      1.00000      0.00000      0.01000
     0.62000      1.00000      0.00000      0.01000
     0.64000      1.00000      0.00000      0.01000
     0.66000      1.00000      0.00000      0.01000
     0.68000      1.00000      0.00000      0.01000
     0.70000      1.00000      0.00000      0.01000
     0.72000      1.00000      0.00000      0.01000
     0.74000      1.00000      0.00000      0.01000
     0.76000      1.00000      0.00000      0.01000
     0.78000      1.00000      0.00000      0.01000
     0.80000      1.00000      0.00000      0.01000
     0.82000      1.00000      0.00000      0.01000
     0.84000      1.00000      0.00000      0.01000
     0.86000      1.00000      0.00000      0.01000
     0.88000      1.00000      0.00000      0.01000
     0.90000      1.00000      0.00000      0.01000
     0.92000      1.00000      0.00000      0.01000
     0.94000      1.00000      0.00000      0.01000
     0.96000      1.00000      0.00000      0.01000
     0.98000      1.00000      0.00000      0.01000
