t =     0.1000
           x          rho            u            p
    -1.00000      1.00000      0.00000      0.01000
    -0.98000      1.00000      0.00000      0.01000
    -0.96000      1.00000      0.00000      0.01000
    -0.94000      1.00000      0.00000      0.01000
    -0.92000      1.00000     -0.00000      0.01000
    -0.90000      1.00000     -0.00000      0.01000
    -0.88000      1.00000     -0.00000      0.01000
    -0.86000      1.00000     -0.00000      0.01000
    -0.84000      1.00232     -0.00069      0.01013
    -0.82000      1.09200     -0.15181      0.14152
    -0.80000      1.74462     -1.78687      4.19168
    -0.78000      3.10758     -4.05725     17.62539
    -0.76000      4.24563     -5.32652     31.74542
    -0.74000      4.70676     -5.87992     40.17139
    -0.72000      4.66974     -6.10117     43.95150
    -0.70000      4.37103     -6.18400     45.37858
    -0.68000      3.94898     -6.21265     45.84032
    -0.66000      3.47379     -6.22172     45.95742
    -0.64000      2.98568     -6.22442     45.96900
    -0.62000      2.51300     -6.22539     45.95473
    -0.60000      2.07788     -6.22602     45.93753
    -0.58000      1.69648     -6.22670     45.92193
    -0.56000      1.37827     -6.22753     45.90820
    -0.54000      1.12577     -6.22843     45.89673
    -0.52000      0.93541     -6.22936     45.88712
    -0.50000      0.79922     -6.23033     45.87878
    -0.48000      0.70689     -6.23134     45.87125
    -0.46000      0.64767     -6.23239     45.86417
    -0.44000      0.61179     -6.23347     45.85726
    -0.42000      0.59131     -6.23460     45.85032
    -0.40000      0.58033     -6.23578     45.84323
    -0.38000      0.57482     -6.23701     45.83589
    -0.36000      0.57224     -6.23830     45.82825
    -0.34000      0.57113     -6.23964     45.82025
    -0.32000      0.57069     -6.24105     45.81186
    -0.30000      0.57054     -6.24254     45.80304
    -0.28000      0.57049     -6.24409     45.79375
    -0.26000      0.57047     -6.24574     45.78395
    -0.24000      0.57046     -6.24747     45.77362
    -0.22000      0.57043     -6.24930     45.76268
    -0.20000      0.57040     -6.25123     45.75111
    -0.18000      0.57035     -6.25329     45.73882
    -0.16000      0.57029     -6.25547     45.72575
    -0.14000      0.57022     -6.25780     45.71181
    -0.12000      0.57013     -6.26028     45.69690
    -0.10000      0.57004     -6.26295     45.68091
    -0.08000      0.56992     -6.26581     45.66372
    -0.06000      0.56980     -6.26890     45.64520
    -0.04000      0.56966     -6.27223     45.62521
    -0.02000      0.56950     -6.27583     45.60363
     0.00000      0.56933     -6.27971     45.58032
     0.02000      0.56913     -6.28389     45.55521
     0.04000      0.56892     -6.28838     45.52826
     0.06000      0.56869     -6.29317     45.49951
     0.08000      0.56845     -6.29824     45.46907
     0.10000      0.56819     -6.30357     45.43711
     0.12000      0.56791     -6.30911     45.40392
     0.14000      0.56763     -6.31477     45.36997
     0.16000      0.56735     -6.32038     45.33642
     0.18000      0.56710     -6.32546     45.30603
     0.20000      0.56693     -6.32905     45.28454
     0.22000      0.56693     -6.32948     45.28203
     0.24000      0.56722     -6.32429     45.31326
     0.26000      0.56798     -6.31046     45.39636
     0.28000      0.56937     -6.28499     45.54970
     0.30000      0.57151     -6.24550     45.78825
     0.32000      0.57449     -6.19073     46.12090
     0.34000      0.57832     -6.12062     46.54971
     0.36000      0.58296     -6.03615     47.07099
     0.38000      0.58833     -5.93889     47.67733
     0.40000      0.59435     -5.83074     48.35953
     0.42000      0.60094     -5.71354     49.10822
     0.44000      0.60799     -5.58900     49.91471
     0.46000      0.61545     -5.45859     50.77145
     0.48000      0.62326     -5.32351     51.67213
     0.50000      0.63136     -5.18475     52.61158
     0.52000      0.63971     -5.04312     53.58566
     0.54000      0.64829     -4.89923     54.59105
     0.56000      0.65707     -4.75359     55.62509
     0.58000      0.66602     -4.60661     56.68565
     0.60000      0.67514     -4.45862     57.77103
     0.62000      0.68440     -4.30988     58.87983
     0.64000      0.69379     -4.16061     60.01088
     0.66000      0.70331     -4.01099     61.16320
     0.68000      0.71295     -3.86118     62.33594
     0.70000      0.72269     -3.71132     63.52834
     0.72000      0.73254     -3.56152     64.73967
     0.74000      0.74248     -3.41191     65.96924
     0.76000      0.75251     -3.26257     67.21637
     0.78000      0.76262     -3.11363     68.48032
     0.80000      0.77280     -2.96517     69.76032
     0.82000      0.78305     -2.81730     71.05551
     0.84000      0.79336     -2.67014     72.36493
     0.86000      0.80372     -2.52380     73.68747
     0.88000      0.81412     -2.37841     75.02185
     0.90000      0.82454     -2.23411     76.36660
     0.92000      0.83498     -2.09107     77.71996
     0.94000      0.84541     -1.94947     79.07988
     0.96000      0.85582     -1.80952     80.44395
     0.98000      0.86618     -1.67145     81.80928
