t =     0.0350
           x          rho            u            p
    -1.00000      5.99924     19.59750    460.89400
    -0.98000      5.99924     19.59750    460.89400
    -0.96000      5.99924     19.59750    460.89400
    -0.94000      5.99924     19.59750    460.89400
    -0.92000      5.99924     19.59750    460.89400
    -0.90000      5.99924     19.59750    460.89400
    -0.88000      5.99924     19.59750    460.89400
    -0.86000      5.99924     19.59750    460.89400
    -0.84000      5.99924     19.59750    460.89400
    -0.82000      5.99924     19.59750    460.89400
    -0.80000      5.99924     19.59750    460.89400
    -0.78000      5.99924     19.59750    460.89400
    -0.76000      5.99924     19.59750    460.89400
    -0.74000      5.99924     19.59750    460.89400
    -0.72000      5.99924     19.59750    460.89400
    -0.70000      5.99924     19.59750    460.89400
    -0.68000      5.99924     19.59750    460.89400
    -0.66000      5.99924     19.59750    460.89400
    -0.64000      5.99924     19.59750    460.89400
    -0.62000      5.99924     19.59750    460.89400
    -0.60000      5.99924     19.59750    460.89400
    -0.58000      5.99924     19.59750    460.89400
    -0.56000      5.99924     19.59750    460.89400
    -0.54000      5.99924     19.59750    460.89400
    -0.52000      5.99924     19.59750    460.89400
    -0.50000      5.99924     19.59750    460.89400
    -0.48000      5.99924     19.59750    460.89400
    -0.46000      5.99924     19.59750    460.89400
    -0.44000      5.99924     19.59750    460.89400
    -0.42000      5.99924     19.59750    460.89400
    -0.40000      5.99924     19.59750    460.89400
    -0.38000      5.99924     19.59750    460.89400
    -0.36000      5.99924     19.59750    460.89400
    -0.34000      5.99924     19.59750    460.89400
    -0.32000      5.99924     19.59750    460.89400
    -0.30000      5.99924     19.59750    460.89400
    -0.28000      5.99924     19.59750    460.89400
    -0.26000      5.99924     19.59750    460.89400
    -0.24000      5.99924     19.59750    460.89400
    -0.22000      5.99924     19.59750    460.89400
    -0.20000      5.99924     19.59750    460.89400
    -0.18000      5.99924     19.59750    460.89400
    -0.16000      5.99924     19.59750    460.89400
    -0.14000      5.99924     19.59750    460.89400
    -0.12000      5.99924     19.59750    460.89400
    -0.10000      5.99924     19.59750    460.89400
    -0.08000      5.99924     19.59750    460.89400
    -0.06000      5.99924     19.59750    460.89400
    -0.04000      5.99924     19.59750    460.89400
    -0.02000      5.99924     19.59750    460.89400
     0.00000      5.99936     19.59730    460.90656
     0.02000      9.12477     14.35175    889.68108
     0.04000     14.21328      8.76409   1679.05077
     0.06000     14.19176      8.75062   1680.32731
     0.08000     14.18776      8.73905   1681.40882
     0.10000     14.20424      8.72934   1682.28793
     0.12000     14.24227      8.72148   1682.95822
     0.14000     14.30621      8.71559   1683.40027
     0.16000     14.41584      8.71158   1683.64146
     0.18000     14.61966      8.70816   1683.95340
     0.20000     14.99737      8.70370   1684.69954
     0.22000     15.64342      8.69998   1685.65413
     0.24000     16.63769      8.70195   1685.99928
     0.26000     18.02084      8.70837   1686.07323
     0.28000     19.77923      8.70847   1688.13221
     0.30000     21.79772      8.70672   1691.16347
     0.32000     23.87011      8.71565   1691.50104
     0.34000     25.81314      8.71982   1690.02312
     0.36000     27.44965      8.68825   1685.34910
     0.38000     28.45927      8.56196   1658.16236
     0.40000     27.92344      8.12903   1540.57070
     0.42000     23.81648      6.53644   1186.40975
     0.44000     14.41813      1.71261    492.02024
     0.46000      6.41340     -5.58467     61.48279
     0.48000      5.99242     -6.19633     46.09500
     0.50000      5.99242     -6.19633     46.09500
     0.52000      5.99242     -6.19633     46.09500
     0.54000      5.99242     -6.19633     46.09500
     0.56000      5.99242     -6.19633     46.09500
     0.58000      5.99242     -6.19633     46.09500
     0.60000      5.99242     -6.19633     46.09500
     0.62000      5.99242     -6.19633     46.09500
     0.64000      5.99242     -6.19633     46.09500
     0.66000      5.99242     -6.19633     46.09500
     0.68000      5.99242     -6.19633     46.09500
     0.70000      5.99242     -6.19633     46.09500
     0.72000      5.99242     -6.19633     46.09500
     0.74000      5.99242     -6.19633     46.09500
     0.76000      5.99242     -6.19633     46.09500
     0.78000      5.99242     -6.19633     46.09500
     0.80000      5.99242     -6.19633     46.09500
     0.82000      5.99242     -6.19633     46.09500
     0.84000      5.99242     -6.19633     46.09500
     0.86000      5.99242     -6.19633     46.09500
     0.88000      5.99242     -6.19633     46.09500
     0.90000      5.99242     -6.19633     46.09500
     0.92000      5.99242     -6.19633     46.09500
     0.94000      5.99242     -6.19633     46.09500
     0.96000      5.99242     -6.19633     46.09500
     0.98000      5.99242     -6.19633     46.09500
