t =     0.2000
           x          rho            u            p
    -1.00000      1.00000     -2.00000      0.40000
    -0.98000      1.00000     -2.00000      0.40000
    -0.96000      1.00000     -2.00000      0.40000
    -0.94000      1.00000     -2.00000      0.40000
    -0.92000      1.00000     -2.00000      0.40000
    -0.90000      1.00000     -2.00000      0.40000
    -0.88000      1.00000     -2.00000      0.40000
    -0.86000      1.00000     -2.00000      0.40000
    -0.84000      1.00000     -2.00000      0.40000
    -0.82000      1.00000     -2.00000      0.40000
    -0.80000      1.00000     -2.00000      0.40000
    -0.78000      1.00000     -2.00000      0.40000
    -0.76000      1.00000     -2.00000      0.40000
    -0.74000      1.00000     -2.00000      0.40000
    -0.72000      1.00000     -2.00000      0.40000
    -0.70000      1.00000     -2.00000      0.40000
    -0.68000      0.99996     -1.99997      0.39998
    -0.66000      0.99949     -1.99962      0.39971
    -0.64000      0.99663     -1.99748      0.39811
    -0.62000      0.98653     -1.98991      0.39250
    -0.60000      0.96369     -1.97266      0.37994
    -0.58000      0.92648     -1.94396      0.35980
    -0.56000      0.87772     -1.90512      0.33399
    -0.54000      0.82172     -1.85862      0.30518
    -0.52000      0.76208     -1.80666      0.27553
    -0.50000      0.70127     -1.75077      0.24641
    -0.48000      0.64080     -1.69192      0.21866
    -0.46000      0.58167     -1.63069      0.19268
    -0.44000      0.52451     -1.56742      0.16871
    -0.42000      0.46977     -1.50230      0.14680
    -0.40000      0.41780     -1.43542      0.12696
    -0.38000      0.36889     -1.36680      0.10913
    -0.36000      0.32324     -1.29642      0.09321
    -0.34000      0.28102     -1.22421      0.07910
    -0.32000      0.24234     -1.15010      0.06668
    -0.30000      0.20722     -1.07399      0.05582
    -0.28000      0.17565     -0.99574      0.04639
    -0.26000      0.14754     -0.91523      0.03826
    -0.24000      0.12277     -0.83229      0.03129
    -0.22000      0.10115     -0.74674      0.02537
    -0.20000      0.08249     -0.65839      0.02038
    -0.18000      0.06654     -0.56715      0.01621
    -0.16000      0.05306     -0.47292      0.01274
    -0.14000      0.04183     -0.37566      0.00991
    -0.12000      0.03261     -0.27579      0.00763
    -0.10000      0.02522     -0.17497      0.00583
    -0.08000      0.01953     -0.07849      0.00449
    -0.06000      0.01542     -0.00095      0.00362
    -0.04000      0.01277      0.03270      0.00322
    -0.02000      0.01062      0.01678      0.00317
     0.00000      0.01062     -0.01678      0.00317
     0.02000      0.01277     -0.03270      0.00322
     0.04000      0.01542      0.00095      0.00362
     0.06000      0.01953      0.07849      0.00449
     0.08000      0.02522      0.17497      0.00583
     0.10000      0.03261      0.27579      0.00763
     0.12000      0.04183      0.37566      0.00991
     0.14000      0.05306      0.47292      0.01274
     0.16000      0.06654      0.56715      0.01621
     0.18000      0.08249      0.65839      0.02038
     0.20000      0.10115      0.74674      0.02537
     0.22000      0.12277      0.83229      0.03129
     0.24000      0.14754      0.91523      0.03826
     0.26000      0.17565      0.99574      0.04639
     0.28000      0.20722      1.07399      0.05582
     0.30000      0.24234      1.15010      0.06668
     0.32000      0.28102      1.22421      0.07910
     0.34000      0.32324      1.29642      0.09321
     0.36000      0.36889      1.36680      0.10913
     0.38000      0.41780      1.43542      0.12696
     0.40000      0.46977      1.50230      0.14680
     0.42000      0.52451      1.56742      0.16871
     0.44000      0.58167      1.63069      0.19268
     0.46000      0.64080      1.69192      0.21866
     0.48000      0.70127      1.75077      0.24641
     0.50000      0.76208      1.80666      0.27553
     0.52000      0.82172      1.85862      0.30518
     0.54000      0.87772      1.90512      0.33399
     0.56000      0.92648      1.94396      0.35980
     0.58000      0.96369      1.97266      0.37994
     0.60000      0.98653      1.98991      0.39250
     0.62000      0.99663      1.99748      0.39811
     0.64000      0.99949      1.99962      0.39971
     0.66000      0.99996      1.99997      0.39998
     0.68000      1.00000      2.00000      0.40000
     0.70000      1.00000      2.00000      0.40000
     0.72000      1.00000      2.00000      0.40000
     0.74000      1.00000      2.00000      0.40000
     0.76000      1.00000      2.00000      0.40000
     0.78000      1.00000      2.00000      0.40000
     0.80000      1.00000      2.00000      0.40000
     0.82000      1.00000      2.00000      0.40000
     0.84000      1.00000      2.00000      0.40000
     0.86000      1.00000      2.00000      0.40000
     0.88000      1.00000      2.00000      0.40000
     0.90000      1.00000      2.00000      0.40000
     0.92000      1.00000      2.00000      0.40000
     0.94000      1.00000      2.00000      0.40000
     0.96000      1.00000      2.00000      0.40000
     0.98000      1.00000      2.00000      0.40000
