t =     0.0250
           x          rho            u            p
    -1.00000      0.97873      0.80186    970.36977
    -0.98000      0.97190      1.06219    960.91483
    -0.96000      0.96403      1.36407    950.04889
    -0.94000      0.95519      1.70497    937.90403
    -0.92000      0.94551      2.08159    924.64088
    -0.90000      0.93508      2.49025    910.43102
    -0.88000      0.92404      2.92722    895.44374
    -0.86000      0.91248      3.38895    879.83746
    -0.84000      0.90051      3.87217    863.75489
    -0.82000      0.88820      4.37396    847.32128
    -0.80000      0.87565      4.89178    830.64439
    -0.78000      0.86290      5.42343    813.81570
    -0.76000      0.85003      5.96702    796.91210
    -0.74000      0.83706      6.52094    779.99776
    -0.72000      0.82405      7.08382    763.12597
    -0.70000      0.81102      7.65450    746.34086
    -0.68000      0.79800      8.23199    729.67888
    -0.66000      0.78502      8.81544    713.17012
    -0.64000      0.77209      9.40411    696.83936
    -0.62000      0.75923      9.99737    680.70708
    -0.60000      0.74646     10.59465    664.79018
    -0.58000      0.73379     11.19545    649.10271
    -0.56000      0.72122     11.79932    633.65640
    -0.54000      0.70878     12.40583    618.46122
    -0.52000      0.69646     13.01457    603.52587
    -0.50000      0.68428     13.62512    588.85826
    -0.48000      0.67224     14.23703    574.46606
    -0.46000      0.66035     14.84981    560.35742
    -0.44000      0.64863     15.46283    546.54187
    -0.42000      0.63709     16.07532    533.03166
    -0.40000      0.62574     16.68620    519.84377
    -0.38000      0.61461     17.29393    507.00324
    -0.36000      0.60374     17.89618    494.54844
    -0.34000      0.59319     18.48933    482.53986
    -0.32000      0.58304     19.06760    471.07481
    -0.30000      0.57345     19.62164    460.31123
    -0.28000      0.56466     20.13622    450.50471
    -0.26000      0.55704     20.58728    442.05784
    -0.24000      0.55115     20.93926    435.56167
    -0.22000      0.54768     21.14753    431.75680
    -0.20000      0.54721     21.17397    431.27428
    -0.18000      0.54973     21.01887    434.09872
    -0.16000      0.55424     20.74438    439.13767
    -0.14000      0.55910     20.45060    444.58656
    -0.12000      0.56299     20.21667    448.96660
    -0.10000      0.56545     20.06783    451.77184
    -0.08000      0.56674     19.98872    453.26787
    -0.06000      0.56731     19.95167    453.96860
    -0.04000      0.56755     19.93426    454.29692
    -0.02000      0.56767     19.92358    454.49759
     0.00000      0.56777     19.91398    454.67748
     0.02000      0.56787     19.90378    454.86888
     0.04000      0.56797     19.89286    455.07395
     0.06000      0.56808     19.88153    455.28677
     0.08000      0.56818     19.87010    455.50125
     0.10000      0.56826     19.85882    455.71304
     0.12000      0.56833     19.84782    455.91941
     0.14000      0.56839     19.83719    456.11872
     0.16000      0.56842     19.82698    456.30989
     0.18000      0.56845     19.81722    456.49226
     0.20000      0.56854     19.80794    456.66547
     0.22000      0.56884     19.79914    456.82955
     0.24000      0.56980     19.79080    456.98465
     0.26000      0.57244     19.78292    457.13122
     0.28000      0.57883     19.77546    457.27031
     0.30000      0.59282     19.76839    457.40337
     0.32000      0.62077     19.76171    457.53203
     0.34000      0.67217     19.75539    457.65962
     0.36000      0.75955     19.74933    457.79327
     0.38000      0.89754     19.74351    457.94021
     0.40000      1.10068     19.73844    458.09813
     0.42000      1.38042     19.73292    458.30951
     0.44000      1.74145     19.72869    458.53659
     0.46000      2.17933     19.72433    458.79642
     0.48000      2.67871     19.71795    458.93970
     0.50000      3.21294     19.69719    458.45516
     0.52000      3.73956     19.62676    455.35132
     0.54000      4.18599     19.40593    444.10523
     0.56000      4.41200     18.79077    411.57979
     0.58000      4.17331     17.22599    335.13428
     0.60000      3.23577     13.62309    200.13677
     0.62000      1.90836      6.89764     57.84551
     0.64000      1.12565      0.89589      2.74064
     0.66000      1.00503      0.00557      0.01226
     0.68000      1.00000      0.00000      0.01000
     0.70000      1.00000      0.00000      0.01000
     0.72000      1.00000      0.00000      0.01000
     0.74000      1.00000      0.00000      0.01000
     0.76000      1.00000      0.00000      0.01000
     0.78000      1.00000      0.00000      0.01000
     0.80000      1.00000      0.00000      0.01000
     0.82000      1.00000      0.00000      0.01000
     0.84000      1.00000      0.00000      0.01000
     0.86000      1.00000      0.00000      0.01000
     0.88000      1.00000      0.00000      0.01000
     0.90000      1.00000      0.00000      0.01000
     0.92000      1.00000      0.00000      0.01000
     0.94000      1.00000      0.00000      0.01000
     0.96000      1.00000      0.00000      0.01000
     0.98000      1.00000      0.00000      0.01000
