t =     0.1000
           x          rho            u            p
    -1.00000      1.00000      0.00000      0.01000
    -0.98000      1.00000      0.00000      0.01000
    -0.96000      1.00000      0.00000      0.01000
    -0.94000      1.00000      0.00000      0.01000
    -0.92000      1.00000     -0.00000      0.01000
    -0.90000      1.00000     -0.00000      0.01000
    -0.88000      1.00000     -0.00000      0.01000
    -0.86000      1.00000     -0.00000      0.01000
    -0.84000      1.00300     -0.00101      0.01017
    -0.82000      1.09641     -0.18717      0.17984
    -0.80000      1.76705     -1.86865      4.49625
    -0.78000      3.11944     -4.08120     17.83765
    -0.76000      4.24289     -5.32768     31.76372
    -0.74000      4.70090     -5.87742     40.13782
    -0.72000      4.66494     -6.09926     43.92318
    -0.70000      4.36799     -6.18289     45.36349
    -0.68000      3.94757     -6.21206     45.83317
    -0.66000      3.47395     -6.22136     45.95402
    -0.64000      2.98732     -6.22416     45.96691
    -0.62000      2.51588     -6.22516     45.95305
    -0.60000      2.08160     -6.22581     45.93594
    -0.58000      1.70053     -6.22650     45.92036
    -0.56000      1.38212     -6.22733     45.90663
    -0.54000      1.12903     -6.22824     45.89517
    -0.52000      0.93783     -6.22919     45.88551
    -0.50000      0.80076     -6.23017     45.87715
    -0.48000      0.70764     -6.23120     45.86958
    -0.46000      0.64780     -6.23226     45.86246
    -0.44000      0.61151     -6.23337     45.85551
    -0.42000      0.59080     -6.23451     45.84853
    -0.40000      0.57972     -6.23571     45.84137
    -0.38000      0.57420     -6.23697     45.83396
    -0.36000      0.57166     -6.23828     45.82622
    -0.34000      0.57061     -6.23965     45.81810
    -0.32000      0.57023     -6.24110     45.80955
    -0.30000      0.57012     -6.24263     45.80052
    -0.28000      0.57012     -6.24424     45.79097
    -0.26000      0.57013     -6.24595     45.78082
    -0.24000      0.57014     -6.24776     45.77004
    -0.22000      0.57014     -6.24968     45.75858
    -0.20000      0.57012     -6.25173     45.74640
    -0.18000      0.57009     -6.25390     45.73343
    -0.16000      0.57004     -6.25621     45.71962
    -0.14000      0.56997     -6.25868     45.70487
    -0.12000      0.56989     -6.26132     45.68906
    -0.10000      0.56980     -6.26417     45.67202
    -0.08000      0.56969     -6.26725     45.65358
    -0.06000      0.56956     -6.27059     45.63354
    -0.04000      0.56941     -6.27424     45.61165
    -0.02000      0.56923     -6.27824     45.58768
     0.00000      0.56904     -6.28263     45.56135
     0.02000      0.56882     -6.28745     45.53242
     0.04000      0.56857     -6.29275     45.50065
     0.06000      0.56829     -6.29856     45.46581
     0.08000      0.56798     -6.30493     45.42763
     0.10000      0.56763     -6.31196     45.38550
     0.12000      0.56724     -6.31989     45.33798
     0.14000      0.56676     -6.32923     45.28211
     0.16000      0.56617     -6.34077     45.21309
     0.18000      0.56541     -6.35543     45.12546
     0.20000      0.56446     -6.37364     45.01684
     0.22000      0.56338     -6.39428     44.89400
     0.24000      0.56237     -6.41375     44.77836
     0.26000      0.56174     -6.42595     44.70607
     0.28000      0.56188     -6.42367     44.71968
     0.30000      0.56311     -6.40088     44.85509
     0.32000      0.56561     -6.35453     45.13153
     0.34000      0.56936     -6.28485     45.54983
     0.36000      0.57426     -6.19446     46.09749
     0.38000      0.58013     -6.08703     46.75576
     0.40000      0.58678     -5.96630     47.50516
     0.42000      0.59405     -5.83554     48.32846
     0.44000      0.60182     -5.69738     49.21166
     0.46000      0.60997     -5.55383     50.14400
     0.48000      0.61843     -5.40639     51.11736
     0.50000      0.62715     -5.25616     52.12577
     0.52000      0.63609     -5.10397     53.16480
     0.54000      0.64521     -4.95039     54.23121
     0.56000      0.65449     -4.79589     55.32261
     0.58000      0.66391     -4.64077     56.43718
     0.60000      0.67346     -4.48531     57.57357
     0.62000      0.68314     -4.32969     58.73071
     0.64000      0.69292     -4.17407     59.90778
     0.66000      0.70281     -4.01857     61.10406
     0.68000      0.71279     -3.86329     62.31896
     0.70000      0.72287     -3.70834     63.55192
     0.72000      0.73303     -3.55380     64.80242
     0.74000      0.74328     -3.39973     66.06993
     0.76000      0.75360     -3.24623     67.35385
     0.78000      0.76399     -3.09338     68.65358
     0.80000      0.77444     -2.94125     69.96838
     0.82000      0.78495     -2.78993     71.29745
     0.84000      0.79551     -2.63953     72.63982
     0.86000      0.80611     -2.49016     73.99437
     0.88000      0.81673     -2.34195     75.35976
     0.90000      0.82737     -2.19503     76.73441
     0.92000      0.83802     -2.04958     78.11645
     0.94000      0.84864     -1.90579     79.50363
     0.96000      0.85924     -1.76388     80.89330
     0.98000      0.86976     -1.62410     82.28229
