t =     0.1000
           x          rho            u            p
    -1.00000      5.99924     19.59750    460.89400
    -0.98000      5.99924     19.59750    460.89400
    -0.96000      5.99924     19.59750    460.89400
    -0.94000      5.99924     19.59750    460.89400
    -0.92000      5.99924     19.59750    460.89400
    -0.90000      5.99924     19.59750    460.89400
    -0.88000      5.99924     19.59750    460.89400
    -0.86000      5.99924     19.59750    460.89400
    -0.84000      5.99924     19.59750    460.89400
    -0.82000      5.99924     19.59750    460.89400
    -0.80000      5.99924     19.59750    460.89400
    -0.78000      5.99924     19.59750    460.89400
    -0.76000      5.99924     19.59750    460.89400
    -0.74000      5.99924     19.59750    460.89400
    -0.72000      5.99924     19.59750    460.89400
    -0.70000      5.99924     19.59750    460.89400
    -0.68000      5.99924     19.59750    460.89400
    -0.66000      5.99924     19.59750    460.89400
    -0.64000      5.99924     19.59750    460.89400
    -0.62000      5.99924     19.59750    460.89400
    -0.60000      5.99924     19.59750    460.89400
    -0.58000      5.99924     19.59750    460.89400
    -0.56000      5.99924     19.59750    460.89400
    -0.54000      5.99924     19.59750    460.89400
    -0.52000      5.99924     19.59750    460.89400
    -0.50000      5.99924     19.59750    460.89400
    -0.48000      5.99924     19.59750    460.89400
    -0.46000      5.99924     19.59750    460.89400
    -0.44000      5.99924     19.59750    460.89400
    -0.42000      5.99924     19.59750    460.89400
    -0.40000      5.99924     19.59750    460.89400
    -0.38000      5.99924     19.59750    460.89400
    -0.36000      5.99924     19.59750    460.89400
    -0.34000      5.99924     19.59750    460.89400
    -0.32000      5.99924     19.59750    460.89400
    -0.30000      5.99924     19.59750    460.89400
    -0.28000      5.99924     19.59750    460.89400
    -0.26000      5.99924     19.59750    460.89400
    -0.24000      5.99924     19.59750    460.89400
    -0.22000      5.99924     19.59750    460.89400
    -0.20000      5.99924     19.59750    460.89400
    -0.18000      5.99924     19.59750    460.89400
    -0.16000      5.99924     19.59750    460.89400
    -0.14000      5.99924     19.59750    460.89400
    -0.12000      5.99924     19.59750    460.89400
    -0.10000      5.99924     19.59750    460.89400
    -0.08000      5.99924     19.59750    460.89400
    -0.06000      5.99924     19.59750    460.89400
    -0.04000      5.99924     19.59750    460.89400
    -0.02000      5.99924     19.59750    460.89400
     0.00000      5.99924     19.59750    460.89400
     0.02000      5.99924     19.59750    460.89400
     0.04000      5.99924     19.59750    460.89400
     0.06000      6.00452     19.58836    461.46289
     0.08000     11.91297     10.89062   1322.46314
     0.10000     14.18476      8.68734   1686.35554
     0.12000     14.22927      8.68648   1686.55982
     0.14000     14.27911      8.68656   1686.89394
     0.16000     14.31249      8.68789   1687.41178
     0.18000     14.32069      8.69071   1688.15499
     0.20000     14.30975      8.69501   1689.11801
     0.22000     14.29180      8.70034   1690.21821
     0.24000     14.27679      8.70586   1691.31075
     0.26000     14.26971      8.71075   1692.26436
     0.28000     14.27148      8.71460   1693.03650
     0.30000     14.28040      8.71733   1693.64874
     0.32000     14.29282      8.71867   1694.07435
     0.34000     14.30413      8.71803   1694.19567
     0.36000     14.31057      8.71511   1693.91904
     0.38000     14.31079      8.71048   1693.30333
     0.40000     14.30589      8.70533   1692.52826
     0.42000     14.29820      8.70058   1691.75578
     0.44000     14.29013      8.69660   1691.05490
     0.46000     14.28359      8.69336   1690.43193
     0.48000     14.27995      8.69069   1689.88854
     0.50000     14.28009      8.68831   1689.44974
     0.52000     14.28472      8.68597   1689.15091
     0.54000     14.29474      8.68360   1688.99957
     0.56000     14.31179      8.68149   1688.95355
     0.58000     14.33920      8.68004   1688.95413
     0.60000     14.38294      8.67944   1688.99057
     0.62000     14.45216      8.67956   1689.11600
     0.64000     14.55895      8.68031   1689.37472
     0.66000     14.71767      8.68204   1689.72113
     0.68000     14.94467      8.68521   1690.06540
     0.70000     15.25824      8.68946   1690.44534
     0.72000     15.67761      8.69322   1691.09248
     0.74000     16.21931      8.69524   1692.15952
     0.76000     16.89208      8.69650   1693.33282
     0.78000     17.69499      8.69928   1694.00653
     0.80000     18.62132      8.70316   1694.09005
     0.82000     19.66137      8.70406   1694.30170
     0.84000     20.79638      8.69939   1695.17499
     0.86000     21.97581      8.69871   1694.64610
     0.88000     23.15340      8.70484   1692.10023
     0.90000     24.33373      8.69976   1691.87422
     0.92000     25.46780      8.69133   1692.41123
     0.94000     26.48588      8.69443   1690.24104
     0.96000     27.22509      8.75421   1674.02999
     0.98000     26.97286      9.09352   1588.65288
