t =     0.2000
           x          rho            u            p
    -1.00000      1.00000     -2.00000      0.40000
    -0.98000      1.00000     -2.00000      0.40000
    -0.96000      1.00000     -2.00000      0.40000
    -0.94000      1.00000     -2.00000      0.40000
    -0.92000      1.00000     -2.00000      0.40000
    -0.90000      1.00000     -2.00000      0.40000
    -0.88000      1.00000     -2.00000      0.40000
    -0.86000      1.00000     -2.00000      0.40000
    -0.84000      1.00000     -2.00000      0.40000
    -0.82000      1.00000     -2.00000      0.40000
    -0.80000      1.00000     -2.00000      0.40000
    -0.78000      1.00000     -2.00000      0.40000
    -0.76000      1.00000     -2.00000      0.40000
    -0.74000      1.00000     -2.00000      0.40000
    -0.72000      1.00000     -2.00000      0.40000
    -0.70000      1.00000     -2.00000      0.40000
    -0.68000      0.99996     -1.99997      0.39998
    -0.66000      0.99949     -1.99962      0.39971
    -0.64000      0.99663     -1.99748      0.39811
    -0.62000      0.98653     -1.98991      0.39250
    -0.60000      0.96369     -1.97266      0.37994
    -0.58000      0.92648     -1.94396      0.35980
    -0.56000      0.87772     -1.90512      0.33399
    -0.54000      0.82171     -1.85862      0.30518
    -0.52000      0.76207     -1.80666      0.27552
    -0.50000      0.70125     -1.75076      0.24641
    -0.48000      0.64078     -1.69191      0.21865
    -0.46000      0.58164     -1.63067      0.19268
    -0.44000      0.52447     -1.56740      0.16870
    -0.42000      0.46973     -1.50228      0.14680
    -0.40000      0.41776     -1.43540      0.12696
    -0.38000      0.36884     -1.36679      0.10913
    -0.36000      0.32320     -1.29642      0.09322
    -0.34000      0.28099     -1.22424      0.07912
    -0.32000      0.24232     -1.15017      0.06670
    -0.30000      0.20722     -1.07411      0.05585
    -0.28000      0.17567     -0.99593      0.04642
    -0.26000      0.14759     -0.91551      0.03830
    -0.24000      0.12284     -0.83268      0.03134
    -0.22000      0.10125     -0.74725      0.02542
    -0.20000      0.08260     -0.65901      0.02043
    -0.18000      0.06666     -0.56781      0.01625
    -0.16000      0.05317     -0.47348      0.01278
    -0.14000      0.04190     -0.37579      0.00994
    -0.12000      0.03263     -0.27485      0.00763
    -0.10000      0.02515     -0.17169      0.00580
    -0.08000      0.01935     -0.07075      0.00442
    -0.06000      0.01513      0.01290      0.00351
    -0.04000      0.01262      0.04753      0.00312
    -0.02000      0.01097      0.02243      0.00314
     0.00000      0.01097     -0.02243      0.00314
     0.02000      0.01262     -0.04753      0.00312
     0.04000      0.01513     -0.01290      0.00351
     0.06000      0.01935      0.07075      0.00442
     0.08000      0.02515      0.17169      0.00580
     0.10000      0.03263      0.27485      0.00763
     0.12000      0.04190      0.37579      0.00994
     0.14000      0.05317      0.47348      0.01278
     0.16000      0.06666      0.56781      0.01625
     0.18000      0.08260      0.65901      0.02043
     0.20000      0.10125      0.74725      0.02542
     0.22000      0.12284      0.83268      0.03134
     0.24000      0.14759      0.91551      0.03830
     0.26000      0.17567      0.99593      0.04642
     0.28000      0.20722      1.07411      0.05585
     0.30000      0.24232      1.15017      0.06670
     0.32000      0.28099      1.22424      0.07912
     0.34000      0.32320      1.29642      0.09322
     0.36000      0.36884      1.36679      0.10913
     0.38000      0.41776      1.43540      0.12696
     0.40000      0.46973      1.50228      0.14680
     0.42000      0.52447      1.56740      0.16870
     0.44000      0.58164      1.63067      0.19268
     0.46000      0.64078      1.69191      0.21865
     0.48000      0.70125      1.75076      0.24641
     0.50000      0.76207      1.80666      0.27552
     0.52000      0.82171      1.85862      0.30518
     0.54000      0.87772      1.90512      0.33399
     0.56000      0.92648      1.94396      0.35980
     0.58000      0.96369      1.97266      0.37994
     0.60000      0.98653      1.98991      0.39250
     0.62000      0.99663      1.99748      0.39811
     0.64000      0.99949      1.99962      0.39971
     0.66000      0.99996      1.99997      0.39998
     0.68000      1.00000      2.00000      0.40000
     0.70000      1.00000      2.00000      0.40000
     0.72000      1.00000      2.00000      0.40000
     0.74000      1.00000      2.00000      0.40000
     0.76000      1.00000      2.00000      0.40000
     0.78000      1.00000      2.00000      0.40000
     0.80000      1.00000      2.00000      0.40000
     0.82000      1.00000      2.00000      0.40000
     0.84000      1.00000      2.00000      0.40000
     0.86000      1.00000      2.00000      0.40000
     0.88000      1.00000      2.00000      0.40000
     0.90000      1.00000      2.00000      0.40000
     0.92000      1.00000      2.00000      0.40000
     0.94000      1.00000      2.00000      0.40000
     0.96000      1.00000      2.00000      0.40000
     0.98000      1.00000      2.00000      0.40000
