t =     0.0250
           x          rho            u            p
    -1.00000      0.97705      0.86575    968.04089
    -0.98000      0.96973      1.14519    957.91561
    -0.96000      0.96135      1.46707    946.36417
    -0.94000      0.95202      1.82808    933.54974
    -0.92000      0.94186      2.22425    919.65808
    -0.90000      0.93100      2.65139    904.87888
    -0.88000      0.91957      3.10540    889.39290
    -0.86000      0.90767      3.58251    873.36440
    -0.84000      0.89541      4.07931    856.93784
    -0.82000      0.88288      4.59283    840.23730
    -0.80000      0.87015      5.12052    823.36763
    -0.78000      0.85728      5.66017    806.41646
    -0.76000      0.84432      6.20993    789.45645
    -0.74000      0.83133      6.76820    772.54765
    -0.72000      0.81833      7.33363    755.73958
    -0.70000      0.80535      7.90505    739.07314
    -0.68000      0.79243      8.48144    722.58223
    -0.66000      0.77959      9.06188    706.29516
    -0.64000      0.76684      9.64557    690.23589
    -0.62000      0.75421     10.23172    674.42499
    -0.60000      0.74171     10.81961    658.88062
    -0.58000      0.72935     11.40849    643.61934
    -0.56000      0.71715     11.99759    628.65692
    -0.54000      0.70513     12.58609    614.00907
    -0.52000      0.69330     13.17305    599.69234
    -0.50000      0.68168     13.75740    585.72502
    -0.48000      0.67029     14.33787    572.12820
    -0.46000      0.65916     14.91289    558.92708
    -0.44000      0.64832     15.48055    546.15257
    -0.42000      0.63781     16.03845    533.84324
    -0.40000      0.62767     16.58353    522.04767
    -0.38000      0.61796     17.11196    510.82721
    -0.36000      0.60877     17.61889    500.25895
    -0.34000      0.60017     18.09830    490.43813
    -0.32000      0.59228     18.54291    481.47903
    -0.30000      0.58523     18.94432    473.51185
    -0.28000      0.57915     19.29358    466.67250
    -0.26000      0.57416     19.58237    461.08187
    -0.24000      0.57033     19.80486    456.81401
    -0.22000      0.56767     19.95991    453.85966
    -0.20000      0.56607     20.05261    452.10100
    -0.18000      0.56534     20.09400    451.31695
    -0.16000      0.56523     20.09876    451.22591
    -0.14000      0.56548     20.08159    451.54931
    -0.12000      0.56591     20.05426    452.06501
    -0.10000      0.56638     20.02441    452.62902
    -0.08000      0.56682     19.99596    453.16700
    -0.06000      0.56721     19.97036    453.65133
    -0.04000      0.56755     19.94777    454.07900
    -0.02000      0.56784     19.92782    454.45668
     0.00000      0.56808     19.91004    454.79324
     0.02000      0.56830     19.89402    455.09657
     0.04000      0.56848     19.87942    455.37280
     0.06000      0.56864     19.86603    455.62622
     0.08000      0.56878     19.85369    455.85974
     0.10000      0.56889     19.84228    456.07545
     0.12000      0.56897     19.83171    456.27510
     0.14000      0.56904     19.82190    456.46035
     0.16000      0.56909     19.81276    456.63272
     0.18000      0.56914     19.80423    456.79359
     0.20000      0.56925     19.79622    456.94425
     0.22000      0.56961     19.78869    457.08597
     0.24000      0.57065     19.78157    457.21980
     0.26000      0.57339     19.77484    457.34640
     0.28000      0.57988     19.76849    457.46635
     0.30000      0.59390     19.76249    457.58089
     0.32000      0.62170     19.75679    457.69233
     0.34000      0.67260     19.75138    457.80376
     0.36000      0.75903     19.74625    457.91896
     0.38000      0.89568     19.74140    458.04456
     0.40000      1.09737     19.73662    458.19344
     0.42000      1.37591     19.73235    458.36648
     0.44000      1.73668     19.72814    458.58537
     0.46000      2.17546     19.72459    458.81142
     0.48000      2.67709     19.71847    458.95736
     0.50000      3.21443     19.69910    458.48653
     0.52000      3.74465     19.63047    455.48240
     0.54000      4.19377     19.41229    444.32620
     0.56000      4.41907     18.79377    411.64689
     0.58000      4.16912     17.20361    334.03779
     0.60000      3.20788     13.52102    197.03927
     0.62000      1.87639      6.69335     55.38773
     0.64000      1.13195      0.80935      2.72398
     0.66000      1.00516      0.00584      0.01295
     0.68000      1.00000      0.00000      0.01000
     0.70000      1.00000      0.00000      0.01000
     0.72000      1.00000      0.00000      0.01000
     0.74000      1.00000      0.00000      0.01000
     0.76000      1.00000      0.00000      0.01000
     0.78000      1.00000      0.00000      0.01000
     0.80000      1.00000      0.00000      0.01000
     0.82000      1.00000      0.00000      0.01000
     0.84000      1.00000      0.00000      0.01000
     0.86000      1.00000      0.00000      0.01000
     0.88000      1.00000      0.00000      0.01000
     0.90000      1.00000      0.00000      0.01000
     0.92000      1.00000      0.00000      0.01000
     0.94000      1.00000      0.00000      0.01000
     0.96000      1.00000      0.00000      0.01000
     0.98000      1.00000      0.00000      0.01000
