t =     0.1000
           x          rho            u            p
    -1.00000      1.00000      0.00000      0.01000
    -0.98000      1.00000      0.00000      0.01000
    -0.96000      1.00000      0.00000      0.01000
    -0.94000      1.00000      0.00000      0.01000
    -0.92000      1.00000     -0.00000      0.01000
    -0.90000      1.00000     -0.00000      0.01000
    -0.88000      1.00000     -0.00000      0.01000
    -0.86000      1.00000     -0.00000      0.01000
    -0.84000      1.00275     -0.00094      0.01017
    -0.82000      1.09733     -0.16811      0.16635
    -0.80000      1.75226     -1.81535      4.31360
    -0.78000      3.10730     -4.06235     17.67000
    -0.76000      4.24167     -5.32499     31.72664
    -0.74000      4.70310     -5.87857     40.15009
    -0.72000      4.66711     -6.10052     43.94127
    -0.70000      4.36907     -6.18381     45.37505
    -0.68000      3.94761     -6.21265     45.83998
    -0.66000      3.47300     -6.22182     45.95777
    -0.64000      2.98553     -6.22457     45.96922
    -0.62000      2.51349     -6.22557     45.95446
    -0.60000      2.07892     -6.22622     45.93697
    -0.58000      1.69791     -6.22691     45.92115
    -0.56000      1.37987     -6.22775     45.90715
    -0.54000      1.12734     -6.22865     45.89555
    -0.52000      0.93680     -6.22961     45.88572
    -0.50000      0.80033     -6.23059     45.87725
    -0.48000      0.70769     -6.23162     45.86958
    -0.46000      0.64817     -6.23268     45.86237
    -0.44000      0.61206     -6.23378     45.85534
    -0.42000      0.59141     -6.23493     45.84829
    -0.40000      0.58031     -6.23613     45.84109
    -0.38000      0.57474     -6.23737     45.83365
    -0.36000      0.57213     -6.23867     45.82591
    -0.34000      0.57101     -6.24003     45.81784
    -0.32000      0.57058     -6.24145     45.80938
    -0.30000      0.57043     -6.24295     45.80049
    -0.28000      0.57039     -6.24452     45.79114
    -0.26000      0.57038     -6.24617     45.78128
    -0.24000      0.57037     -6.24791     45.77086
    -0.22000      0.57035     -6.24976     45.75984
    -0.20000      0.57032     -6.25171     45.74817
    -0.18000      0.57028     -6.25378     45.73580
    -0.16000      0.57022     -6.25597     45.72268
    -0.14000      0.57015     -6.25830     45.70875
    -0.12000      0.57007     -6.26077     45.69392
    -0.10000      0.56998     -6.26341     45.67809
    -0.08000      0.56987     -6.26623     45.66116
    -0.06000      0.56975     -6.26926     45.64297
    -0.04000      0.56961     -6.27252     45.62340
    -0.02000      0.56946     -6.27605     45.60226
     0.00000      0.56929     -6.27986     45.57935
     0.02000      0.56910     -6.28401     45.55444
     0.04000      0.56889     -6.28855     45.52720
     0.06000      0.56865     -6.29355     45.49721
     0.08000      0.56838     -6.29909     45.46394
     0.10000      0.56807     -6.30528     45.42681
     0.12000      0.56773     -6.31219     45.38539
     0.14000      0.56734     -6.31978     45.33987
     0.16000      0.56694     -6.32780     45.29186
     0.18000      0.56655     -6.33552     45.24565
     0.20000      0.56624     -6.34159     45.20941
     0.22000      0.56614     -6.34385     45.19597
     0.24000      0.56639     -6.33948     45.22217
     0.26000      0.56717     -6.32539     45.30667
     0.28000      0.56861     -6.29878     45.46663
     0.30000      0.57084     -6.25767     45.71459
     0.32000      0.57391     -6.20126     46.05674
     0.34000      0.57781     -6.12985     46.49309
     0.36000      0.58249     -6.04456     47.01883
     0.38000      0.58787     -5.94703     47.62631
     0.40000      0.59388     -5.83906     48.30670
     0.42000      0.60043     -5.72239     49.05130
     0.44000      0.60744     -5.59859     49.85215
     0.46000      0.61484     -5.46903     50.70237
     0.48000      0.62259     -5.33481     51.59619
     0.50000      0.63064     -5.19687     52.52889
     0.52000      0.63894     -5.05596     53.49663
     0.54000      0.64748     -4.91267     54.49631
     0.56000      0.65622     -4.76751     55.52545
     0.58000      0.66514     -4.62086     56.58201
     0.60000      0.67424     -4.47305     57.66435
     0.62000      0.68348     -4.32434     58.77113
     0.64000      0.69288     -4.17496     59.90121
     0.66000      0.70240     -4.02510     61.05363
     0.68000      0.71205     -3.87491     62.22753
     0.70000      0.72182     -3.72455     63.42218
     0.72000      0.73170     -3.57413     64.63685
     0.74000      0.74168     -3.42377     65.87087
     0.76000      0.75176     -3.27359     67.12354
     0.78000      0.76192     -3.12368     68.39415
     0.80000      0.77217     -2.97417     69.68192
     0.82000      0.78250     -2.82516     70.98600
     0.84000      0.79289     -2.67675     72.30542
     0.86000      0.80334     -2.52909     73.63906
     0.88000      0.81383     -2.38230     74.98564
     0.90000      0.82436     -2.23653     76.34364
     0.92000      0.83490     -2.09195     77.71128
     0.94000      0.84546     -1.94876     79.08644
     0.96000      0.85599     -1.80718     80.46660
     0.98000      0.86648     -1.66746     81.84878
