t =     0.1000
           x          rho            u            p
    -1.00000      5.99924     19.59750    460.89400
    -0.98000      5.99924     19.59750    460.89400
    -0.96000      5.99924     19.59750    460.89400
    -0.94000      5.99924     19.59750    460.89400
    -0.92000      5.99924     19.59750    460.89400
    -0.90000      5.99924     19.59750    460.89400
    -0.88000      5.99924     19.59750    460.89400
    -0.86000      5.99924     19.59750    460.89400
    -0.84000      5.99924     19.59750    460.89400
    -0.82000      5.99924     19.59750    460.89400
    -0.80000      5.99924     19.59750    460.89400
    -0.78000      5.99924     19.59750    460.89400
    -0.76000      5.99924     19.59750    460.89400
    -0.74000      5.99924     19.59750    460.89400
    -0.72000      5.99924     19.59750    460.89400
    -0.70000      5.99924     19.59750    460.89400
    -0.68000      5.99924     19.59750    460.89400
    -0.66000      5.99924     19.59750    460.89400
    -0.64000      5.99924     19.59750    460.89400
    -0.62000      5.99924     19.59750    460.89400
    -0.60000      5.99924     19.59750    460.89400
    -0.58000      5.99924     19.59750    460.89400
    -0.56000      5.99924     19.59750    460.89400
    -0.54000      5.99924     19.59750    460.89400
    -0.52000      5.99924     19.59750    460.89400
    -0.50000      5.99924     19.59750    460.89400
    -0.48000      5.99924     19.59750    460.89400
    -0.46000      5.99924     19.59750    460.89400
    -0.44000      5.99924     19.59750    460.89400
    -0.42000      5.99924     19.59750    460.89400
    -0.40000      5.99924     19.59750    460.89400
    -0.38000      5.99924     19.59750    460.89400
    -0.36000      5.99924     19.59750    460.89400
    -0.34000      5.99924     19.59750    460.89400
    -0.32000      5.99924     19.59750    460.89400
    -0.30000      5.99924     19.59750    460.89400
    -0.28000      5.99924     19.59750    460.89400
    -0.26000      5.99924     19.59750    460.89400
    -0.24000      5.99924     19.59750    460.89400
    -0.22000      5.99924     19.59750    460.89400
    -0.20000      5.99924     19.59750    460.89400
    -0.18000      5.99924     19.59750    460.89400
    -0.16000      5.99924     19.59750    460.89400
    -0.14000      5.99924     19.59750    460.89400
    -0.12000      5.99924     19.59750    460.89400
    -0.10000      5.99924     19.59750    460.89400
    -0.08000      5.99924     19.59750    460.89400
    -0.06000      5.99924     19.59750    460.89400
    -0.04000      5.99924     19.59750    460.89400
    -0.02000      5.99924     19.59750    460.89400
     0.00000      5.99924     19.59750    460.89400
     0.02000      5.99924     19.59750    460.89400
     0.04000      5.99924     19.59750    460.89400
     0.06000      6.00226     19.59228    461.21909
     0.08000     11.60272     11.22998   1273.32484
     0.10000     14.17710      8.68944   1686.17436
     0.12000     14.20900      8.68800   1686.27755
     0.14000     14.25438      8.68718   1686.47510
     0.16000     14.29337      8.68720   1686.81235
     0.18000     14.31222      8.68836   1687.34452
     0.20000     14.31034      8.69094   1688.12311
     0.22000     14.29676      8.69507   1689.16928
     0.24000     14.28226      8.70058   1690.44018
     0.26000     14.27397      8.70681   1691.80648
     0.28000     14.27406      8.71272   1693.06546
     0.30000     14.28094      8.71715   1694.00044
     0.32000     14.29113      8.71930   1694.46450
     0.34000     14.30088      8.71897   1694.43852
     0.36000     14.30738      8.71658   1694.02566
     0.38000     14.30929      8.71281   1693.39104
     0.40000     14.30678      8.70831   1692.69161
     0.42000     14.30121      8.70357   1692.03269
     0.44000     14.29451      8.69896   1691.45846
     0.46000     14.28859      8.69475   1690.96790
     0.48000     14.28494      8.69109   1690.54162
     0.50000     14.28457      8.68801   1690.16036
     0.52000     14.28818      8.68554   1689.80468
     0.54000     14.29664      8.68376   1689.45312
     0.56000     14.31186      8.68269   1689.10459
     0.58000     14.33771      8.68209   1688.81336
     0.60000     14.38061      8.68152   1688.68159
     0.62000     14.44963      8.68074   1688.78137
     0.64000     14.55619      8.68015   1689.07648
     0.66000     14.71414      8.68052   1689.45888
     0.68000     14.94012      8.68216   1689.89356
     0.70000     15.25293      8.68452   1690.48737
     0.72000     15.67098      8.68697   1691.32717
     0.74000     16.20851      8.69010   1692.22368
     0.76000     16.87307      8.69538   1692.74883
     0.78000     17.66705      8.70230   1692.80976
     0.80000     18.59105      8.70596   1693.20154
     0.82000     19.63610      8.70310   1694.47945
     0.84000     20.76533      8.70103   1695.03058
     0.86000     21.94135      8.70167   1694.39526
     0.88000     23.13087      8.70276   1693.14413
     0.90000     24.32189      8.69426   1693.81032
     0.92000     25.45597      8.68708   1694.07301
     0.94000     26.43226      8.70581   1688.00108
     0.96000     27.27221      8.73205   1680.09660
     0.98000     27.65996      8.86325   1645.85854
