t =     0.0043
           x          rho            u            p
    -1.00000      1.00000      0.00000   1000.00000
    -0.98000      1.00000      0.00000   1000.00000
    -0.96000      1.00000      0.00000   1000.00000
    -0.94000      1.00000      0.00000   1000.00000
    -0.92000      1.00000      0.00000   1000.00000
    -0.90000      1.00000      0.00000   1000.00000
    -0.88000      1.00000      0.00000   1000.00000
    -0.86000      1.00000      0.00000   1000.00000
    -0.84000      1.00000      0.00000   1000.00000
    -0.82000      1.00000      0.00000   1000.00000
    -0.80000      1.00000      0.00000   1000.00000
    -0.78000      1.00000      0.00000   1000.00000
    -0.76000      1.00000      0.00000   1000.00000
    -0.74000      1.00000      0.00000   1000.00000
    -0.72000      1.00000      0.00000   1000.00000
    -0.70000      1.00000      0.00000   1000.00000
    -0.68000      1.00000      0.00000   1000.00000
    -0.66000      1.00000      0.00000   1000.00000
    -0.64000      1.00000      0.00000   1000.00000
    -0.62000      1.00000      0.00000   1000.00000
    -0.60000      1.00000      0.00000   1000.00000
    -0.58000      1.00000      0.00000   1000.00000
    -0.56000      1.00000      0.00000   1000.00000
    -0.54000      1.00000      0.00000   1000.00000
    -0.52000      1.00000      0.00000    999.99999
    -0.50000      1.00000      0.00000    999.99996
    -0.48000      1.00000      0.00000    999.99982
    -0.46000      1.00000      0.00002    999.99932
    -0.44000      1.00000      0.00007    999.99753
    -0.42000      0.99999      0.00022    999.99160
    -0.40000      0.99998      0.00072    999.97314
    -0.38000      0.99994      0.00215    999.91942
    -0.36000      0.99984      0.00605    999.77357
    -0.34000      0.99958      0.01590    999.40527
    -0.32000      0.99896      0.03897    998.54276
    -0.30000      0.99762      0.08897    996.67516
    -0.28000      0.99495      0.18903    992.94591
    -0.26000      0.99003      0.37375    986.09090
    -0.24000      0.98167      0.68854    974.49607
    -0.22000      0.96855      1.18536    956.42382
    -0.20000      0.94946      1.91523    930.37758
    -0.18000      0.92358      2.92027    895.48451
    -0.16000      0.89063      4.22770    851.75128
    -0.14000      0.85099      5.84707    800.11375
    -0.12000      0.80562      7.76966    742.30979
    -0.10000      0.75604      9.96695    680.68795
    -0.08000      0.70432     12.38294    618.10341
    -0.06000      0.65330     14.91015    558.07930
    -0.04000      0.60721     17.33332    505.41616
    -0.02000      0.57195     19.25362    466.86697
     0.00000      0.57122     20.22650    448.29599
     0.02000      0.65630     20.39638    444.28838
     0.04000      0.90240     20.21418    440.45424
     0.06000      1.34625     19.39675    418.57770
     0.08000      1.84170     17.33971    346.30721
     0.10000      2.03504     13.41448    214.27766
     0.12000      1.71864      7.59218     77.19208
     0.14000      1.24674      2.02266      9.90413
     0.16000      1.03574      0.11839      0.18984
     0.18000      1.00176      0.00078      0.01016
     0.20000      1.00000      0.00000      0.01000
     0.22000      1.00000      0.00000      0.01000
     0.24000      1.00000      0.00000      0.01000
     0.26000      1.00000      0.00000      0.01000
     0.28000      1.00000      0.00000      0.01000
     0.30000      1.00000      0.00000      0.01000
     0.32000      1.00000      0.00000      0.01000
     0.34000      1.00000      0.00000      0.01000
     0.36000      1.00000      0.00000      0.01000
     0.38000      1.00000      0.00000      0.01000
     0.40000      1.00000      0.00000      0.01000
     0.42000      1.00000      0.00000      0.01000
     0.44000      1.00000      0.00000      0.01000
     0.46000      1.00000      0.00000      0.01000
     0.48000      1.00000      0.00000      0.01000
     0.50000      1.00000      0.00000      0.01000
     0.52000      1.00000      0.00000      0.01000
     0.54000      1.00000      0.00000      0.01000
     0.56000      1.00000      0.00000      0.01000
     0.58000      1.00000      0.00000      0.01000
     0.60000      1.00000      0.00000      0.01000
     0.62000      1.00000      0.00000      0.01000
     0.64000      1.00000      0.00000      0.01000
     0.66000      1.00000      0.00000      0.01000
     0.68000      1.00000      0.00000      0.01000
     0.70000      1.00000      0.00000      0.01000
     0.72000      1.00000      0.00000      0.01000
     0.74000      1.00000      0.00000      0.01000
     0.76000      1.00000      0.00000      0.01000
     0.78000      1.00000      0.00000      0.01000
     0.80000      1.00000      0.00000      0.01000
     0.82000      1.00000      0.00000      0.01000
     0.84000      1.00000      0.00000      0.01000
     0.86000      1.00000      0.00000      0.01000
     0.88000      1.00000      0.00000      0.01000
     0.90000      1.00000      0.00000      0.01000
     0.92000      1.00000      0.00000      0.01000
     0.94000      1.00000      0.00000      0.01000
     0.96000      1.00000      0.00000      0.01000
     0.98000      1.00000      0.00000      0.01000
