t =     0.0960
           x          rho            u            p
    -1.00000         -nan         -nan         -nan
    -0.98000         -nan         -nan         -nan
    -0.96000         -nan         -nan         -nan
    -0.94000         -nan         -nan         -nan
    -0.92000         -nan         -nan         -nan
    -0.90000         -nan         -nan         -nan
    -0.88000         -nan         -nan         -nan
    -0.86000         -nan         -nan         -nan
    -0.84000         -nan         -nan         -nan
    -0.82000         -nan         -nan         -nan
    -0.80000         -nan         -nan         -nan
    -0.78000         -nan         -nan         -nan
    -0.76000         -nan         -nan         -nan
    -0.74000         -nan         -nan         -nan
    -0.72000         -nan         -nan         -nan
    -0.70000         -nan         -nan         -nan
    -0.68000         -nan         -nan         -nan
    -0.66000         -nan         -nan         -nan
    -0.64000         -nan         -nan         -nan
    -0.62000         -nan         -nan         -nan
    -0.60000         -nan         -nan         -nan
    -0.58000         -nan         -nan         -nan
    -0.56000         -nan         -nan         -nan
    -0.54000         -nan         -nan         -nan
    -0.52000         -nan         -nan         -nan
    -0.50000         -nan         -nan         -nan
    -0.48000         -nan         -nan         -nan
    -0.46000         -nan         -nan         -nan
    -0.44000         -nan         -nan         -nan
    -0.42000         -nan         -nan         -nan
    -0.40000         -nan         -nan         -nan
    -0.38000         -nan         -nan         -nan
    -0.36000         -nan         -nan         -nan
    -0.34000         -nan         -nan         -nan
    -0.32000         -nan         -nan         -nan
    -0.30000         -nan         -nan         -nan
    -0.28000         -nan         -nan         -nan
    -0.26000         -nan         -nan         -nan
    -0.24000         -nan         -nan         -nan
    -0.22000         -nan         -nan         -nan
    -0.20000         -nan         -nan         -nan
    -0.18000         -nan         -nan         -nan
    -0.16000         -nan         -nan         -nan
    -0.14000         -nan         -nan         -nan
    -0.12000         -nan         -nan         -nan
    -0.10000         -nan         -nan         -nan
    -0.08000         -nan         -nan         -nan
    -0.06000         -nan         -nan         -nan
    -0.04000         -nan         -nan         -nan
    -0.02000      0.03761     -3.02054      0.19358
     0.00000      0.04746     -2.38617      0.26751
     0.02000      0.05132     -2.17003      0.29775
     0.04000      0.05509     -1.97172      0.32807
     0.06000      0.05888     -1.78369      0.35927
     0.08000      0.06271     -1.60348      0.39157
     0.10000      0.06658     -1.43005      0.42502
     0.12000      0.07050     -1.26295      0.45957
     0.14000      0.07445     -1.10203      0.49512
     0.16000      0.07841     -0.94732      0.53152
     0.18000      0.08236     -0.79897      0.56858
     0.20000      0.08629     -0.65723      0.60605
     0.22000      0.09015     -0.52244      0.64366
     0.24000      0.09394     -0.39496      0.68105
     0.26000      0.09760     -0.27524      0.71786
     0.28000      0.10111     -0.16372      0.75367
     0.30000      0.10444     -0.06085      0.78806
     0.32000      0.10754      0.03295      0.82057
     0.34000      0.11039      0.11733      0.85080
     0.36000      0.11296      0.19207      0.87835
     0.38000      0.11523      0.25708      0.90294
     0.40000      0.11719      0.31249      0.92435
     0.42000      0.11885      0.35864      0.94251
     0.44000      0.12020      0.39611      0.95747
     0.46000      0.12127      0.42569      0.96943
     0.48000      0.12210      0.44834      0.97866
     0.50000      0.12272      0.46515      0.98556
     0.52000      0.12316      0.47719      0.99053
     0.54000      0.12347      0.48553      0.99399
     0.56000      0.12367      0.49111      0.99630
     0.58000      0.12380      0.49471      0.99780
     0.60000      0.12389      0.49694      0.99873
     0.62000      0.12394      0.49829      0.99929
     0.64000      0.12397      0.49907      0.99961
     0.66000      0.12398      0.49951      0.99980
     0.68000      0.12399      0.49975      0.99990
     0.70000      0.12400      0.49988      0.99995
     0.72000      0.12400      0.49994      0.99997
     0.74000      0.12400      0.49997      0.99999
     0.76000      0.12400      0.49999      0.99999
     0.78000      0.12400      0.49999      1.00000
     0.80000      0.12400      0.50000      1.00000
     0.82000      0.12400      0.50000      1.00000
     0.84000      0.12400      0.50000      1.00000
     0.86000      0.12400      0.50000      1.00000
     0.88000      0.12400      0.50000      1.00000
     0.90000      0.12400      0.50000      1.00000
     0.92000      0.12400      0.50000      1.00000
     0.94000      0.12400      0.50000      1.00000
     0.96000      0.12400      0.50000      1.00000
     0.98000      0.12400      0.50000      1.00000
