t =     0.0439
           x          rho            u            p
    -1.00000      1.00000      0.00000      0.01000
    -0.98000      1.00000      0.00000      0.01000
    -0.96000      1.00000      0.00000      0.01000
    -0.94000      1.00000      0.00000      0.01000
    -0.92000      1.00000      0.00000      0.01000
    -0.90000      1.00000      0.00000      0.01000
    -0.88000      1.00000      0.00000      0.01000
    -0.86000      1.00000      0.00000      0.01000
    -0.84000      1.00000      0.00000      0.01000
    -0.82000      1.00000      0.00000      0.01000
    -0.80000      1.00000      0.00000      0.01000
    -0.78000      1.00000      0.00000      0.01000
    -0.76000      1.00000      0.00000      0.01000
    -0.74000      1.00000      0.00000      0.01000
    -0.72000      1.00000      0.00000      0.01000
    -0.70000      1.00000      0.00000      0.01000
    -0.68000      1.00000      0.00000      0.01000
    -0.66000      1.00000      0.00000      0.01000
    -0.64000      1.00000      0.00000      0.01000
    -0.62000      1.00000      0.00000      0.01000
    -0.60000      1.00000      0.00000      0.01000
    -0.58000      1.00000      0.00000      0.01000
    -0.56000      1.00000     -0.00000      0.01000
    -0.54000      1.00000     -0.00000      0.01000
    -0.52000      1.00000     -0.00000      0.01000
    -0.50000      1.00000     -0.00000      0.01000
    -0.48000      1.00000     -0.00000      0.01000
    -0.46000      1.00002     -0.00000      0.01000
    -0.44000      1.00430     -0.00121      0.01018
    -0.42000      1.06879     -0.09201      0.06986
    -0.40000      1.39711     -0.96034      1.65350
    -0.38000      2.09575     -2.71943      8.68178
    -0.36000      2.80567     -4.24556     20.03950
    -0.34000      3.15314     -5.21935     30.85755
    -0.32000      3.07480     -5.77763     38.41994
    -0.30000      2.70998     -6.07457     42.63819
    -0.28000      2.22896     -6.21833     44.54797
    -0.26000      1.75409     -6.28002     45.22424
    -0.24000      1.35091     -6.30414     45.37888
    -0.22000      1.04378     -6.31422     45.37045
    -0.20000      0.83141     -6.32050     45.32901
    -0.18000      0.69840     -6.32636     45.28594
    -0.16000      0.62360     -6.33263     45.24420
    -0.14000      0.58629     -6.33950     45.20171
    -0.12000      0.57004     -6.34707     45.15640
    -0.10000      0.56394     -6.35548     45.10673
    -0.08000      0.56196     -6.36482     45.05167
    -0.06000      0.56128     -6.37516     44.99080
    -0.04000      0.56089     -6.38643     44.92441
    -0.02000      0.56049     -6.39832     44.85436
     0.00000      0.56010     -6.40946     44.78880
     0.02000      0.55997     -6.41529     44.75474
     0.04000      0.56065     -6.40560     44.81270
     0.06000      0.56293     -6.36518     45.05339
     0.08000      0.56763     -6.27965     45.56608
     0.10000      0.57516     -6.14202     46.40147
     0.12000      0.58551     -5.95466     47.56005
     0.14000      0.59832     -5.72608     49.00739
     0.16000      0.61313     -5.46668     50.69601
     0.18000      0.62948     -5.18595     52.58002
     0.20000      0.64702     -4.89153     54.62072
     0.22000      0.66543     -4.58919     56.78718
     0.24000      0.68449     -4.28323     59.05467
     0.26000      0.70402     -3.97690     61.40278
     0.28000      0.72385     -3.67270     63.81380
     0.30000      0.74385     -3.37265     66.27142
     0.32000      0.76389     -3.07845     68.75976
     0.34000      0.78383     -2.79163     71.26272
     0.36000      0.80356     -2.51359     73.76351
     0.38000      0.82294     -2.24566     76.24428
     0.40000      0.84184     -1.98916     78.68605
     0.42000      0.86012     -1.74537     81.06873
     0.44000      0.87763     -1.51555     83.37132
     0.46000      0.89424     -1.30088     85.57236
     0.48000      0.90980     -1.10249     87.65059
     0.50000      0.92419     -0.92134     89.58580
     0.52000      0.93730     -0.75817     91.35997
     0.54000      0.94904     -0.61346     92.95837
     0.56000      0.95937     -0.48733     94.37079
     0.58000      0.96825     -0.37952     95.59252
     0.60000      0.97574     -0.28932     96.62497
     0.62000      0.98188     -0.21560     97.47579
     0.64000      0.98680     -0.15684     98.15832
     0.66000      0.99062     -0.11127     98.69054
     0.68000      0.99351     -0.07690     99.09343
     0.70000      0.99563     -0.05175     99.38924
     0.72000      0.99714     -0.03388     99.59976
     0.74000      0.99818     -0.02158     99.74493
     0.76000      0.99887     -0.01337     99.84193
     0.78000      0.99932     -0.00805     99.90473
     0.80000      0.99960     -0.00472     99.94415
     0.82000      0.99977     -0.00269     99.96814
     0.84000      0.99987     -0.00150     99.98231
     0.86000      0.99993     -0.00081     99.99044
     0.88000      0.99996     -0.00043     99.99496
     0.90000      0.99998     -0.00022     99.99742
     0.92000      0.99999     -0.00011     99.99871
     0.94000      1.00000     -0.00005     99.99937
     0.96000      1.00000     -0.00003     99.99970
     0.98000      1.00000     -0.00001     99.99986
