t =     0.1952
           x          rho            u            p
    -1.00000      0.12400      0.50005      0.99998
    -0.98000      0.12400      0.50009      0.99996
    -0.96000      0.12399      0.50017      0.99993
    -0.94000      0.12399      0.50029      0.99988
    -0.92000      0.12398      0.50050      0.99979
    -0.90000      0.12397      0.50085      0.99965
    -0.88000      0.12395      0.50140      0.99942
    -0.86000      0.12392      0.50226      0.99906
    -0.84000      0.12387      0.50357      0.99851
    -0.82000      0.12380      0.50550      0.99771
    -0.80000      0.12369      0.50830      0.99655
    -0.78000      0.12355      0.51225      0.99491
    -0.76000      0.12335      0.51766      0.99266
    -0.74000      0.12308      0.52492      0.98966
    -0.72000      0.12273      0.53440      0.98575
    -0.70000      0.12229      0.54650      0.98078
    -0.68000      0.12174      0.56159      0.97461
    -0.66000      0.12107      0.58000      0.96713
    -0.64000      0.12027      0.60200      0.95825
    -0.62000      0.11934      0.62781      0.94792
    -0.60000      0.11828      0.65754      0.93614
    -0.58000      0.11708      0.69126      0.92294
    -0.56000      0.11575      0.72894      0.90837
    -0.54000      0.11430      0.77050      0.89252
    -0.52000      0.11273      0.81583      0.87551
    -0.50000      0.11106      0.86474      0.85747
    -0.48000      0.10929      0.91707      0.83852
    -0.46000      0.10744      0.97260      0.81880
    -0.44000      0.10551      1.03112      0.79846
    -0.42000      0.10353      1.09242      0.77761
    -0.40000      0.10149      1.15631      0.75638
    -0.38000      0.09941      1.22260      0.73489
    -0.36000      0.09729      1.29109      0.71323
    -0.34000      0.09515      1.36164      0.69150
    -0.32000      0.09299      1.43410      0.66977
    -0.30000      0.09082      1.50833      0.64813
    -0.28000      0.08864      1.58422      0.62663
    -0.26000      0.08646      1.66166      0.60532
    -0.24000      0.08429      1.74059      0.58425
    -0.22000      0.08212      1.82093      0.56345
    -0.20000      0.07996      1.90263      0.54296
    -0.18000      0.07781      1.98568      0.52279
    -0.16000      0.07568      2.07007      0.50296
    -0.14000      0.07356      2.15584      0.48347
    -0.12000      0.07145      2.24307      0.46432
    -0.10000      0.06936      2.33193      0.44549
    -0.08000      0.06727      2.42273      0.42694
    -0.06000      0.06518      2.51605      0.40856
    -0.04000      0.06306      2.61321      0.39016
    -0.02000      0.06083      2.71806      0.37111
     0.00000      0.05443      3.03917      0.31765
     0.02000         -nan         -nan         -nan
     0.04000         -nan         -nan         -nan
     0.06000         -nan         -nan         -nan
     0.08000         -nan         -nan         -nan
     0.10000         -nan         -nan         -nan
     0.12000         -nan         -nan         -nan
     0.14000         -nan         -nan         -nan
     0.16000         -nan         -nan         -nan
     0.18000         -nan         -nan         -nan
     0.20000         -nan         -nan         -nan
     0.22000         -nan         -nan         -nan
     0.24000         -nan         -nan         -nan
     0.26000         -nan         -nan         -nan
     0.28000         -nan         -nan         -nan
     0.30000         -nan         -nan         -nan
     0.32000         -nan         -nan         -nan
     0.34000         -nan         -nan         -nan
     0.36000         -nan         -nan         -nan
     0.38000         -nan         -nan         -nan
     0.40000         -nan         -nan         -nan
     0.42000         -nan         -nan         -nan
     0.44000         -nan         -nan         -nan
     0.46000         -nan         -nan         -nan
     0.48000         -nan         -nan         -nan
     0.50000         -nan         -nan         -nan
     0.52000         -nan         -nan         -nan
     0.54000         -nan         -nan         -nan
     0.56000         -nan         -nan         -nan
     0.58000         -nan         -nan         -nan
     0.60000         -nan         -nan         -nan
     0.62000         -nan         -nan         -nan
     0.64000         -nan         -nan         -nan
     0.66000         -nan         -nan         -nan
     0.68000         -nan         -nan         -nan
     0.70000         -nan         -nan         -nan
     0.72000         -nan         -nan         -nan
     0.74000         -nan         -nan         -nan
     0.76000         -nan         -nan         -nan
     0.78000         -nan         -nan         -nan
     0.80000         -nan         -nan         -nan
     0.82000         -nan         -nan         -nan
     0.84000         -nan         -nan         -nan
     0.86000         -nan         -nan         -nan
     0.88000         -nan         -nan         -nan
     0.90000         -nan         -nan         -nan
     0.92000         -nan         -nan         -nan
     0.94000         -nan         -nan         -nan
     0.96000         -nan         -nan         -nan
     0.98000         -nan         -nan         -nan
