t =     0.0867
           x          rho            u            p
    -1.00000      5.99924     19.59750    460.89400
    -0.98000      5.99924     19.59750    460.89400
    -0.96000      5.99924     19.59750    460.89400
    -0.94000      5.99924     19.59750    460.89400
    -0.92000      5.99924     19.59750    460.89400
    -0.90000      5.99924     19.59750    460.89400
    -0.88000      5.99924     19.59750    460.89400
    -0.86000      5.99924     19.59750    460.89400
    -0.84000      5.99924     19.59750    460.89400
    -0.82000      5.99924     19.59750    460.89400
    -0.80000      5.99924     19.59750    460.89400
    -0.78000      5.99924     19.59750    460.89400
    -0.76000      5.99924     19.59750    460.89400
    -0.74000      5.99924     19.59750    460.89400
    -0.72000      5.99924     19.59750    460.89400
    -0.70000      5.99924     19.59750    460.89400
    -0.68000      5.99924     19.59750    460.89400
    -0.66000      5.99924     19.59750    460.89400
    -0.64000      5.99924     19.59750    460.89400
    -0.62000      5.99924     19.59750    460.89400
    -0.60000      5.99924     19.59750    460.89400
    -0.58000      5.99924     19.59750    460.89400
    -0.56000      5.99924     19.59750    460.89400
    -0.54000      5.99924     19.59750    460.89400
    -0.52000      5.99924     19.59750    460.89400
    -0.50000      5.99924     19.59750    460.89400
    -0.48000      5.99924     19.59750    460.89400
    -0.46000      5.99924     19.59750    460.89400
    -0.44000      5.99924     19.59750    460.89400
    -0.42000      5.99924     19.59750    460.89400
    -0.40000      5.99924     19.59750    460.89400
    -0.38000      5.99924     19.59750    460.89400
    -0.36000      5.99924     19.59750    460.89400
    -0.34000      5.99924     19.59750    460.89400
    -0.32000      5.99924     19.59750    460.89400
    -0.30000      5.99924     19.59750    460.89400
    -0.28000      5.99924     19.59750    460.89400
    -0.26000      5.99924     19.59750    460.89400
    -0.24000      5.99924     19.59750    460.89400
    -0.22000      5.99924     19.59750    460.89400
    -0.20000      5.99924     19.59750    460.89400
    -0.18000      5.99924     19.59750    460.89400
    -0.16000      5.99924     19.59750    460.89400
    -0.14000      5.99924     19.59750    460.89400
    -0.12000      5.99924     19.59750    460.89400
    -0.10000      5.99924     19.59750    460.89400
    -0.08000      5.99924     19.59750    460.89400
    -0.06000      5.99924     19.59750    460.89400
    -0.04000      5.99924     19.59750    460.89400
    -0.02000      5.99924     19.59750    460.89400
     0.00000      5.99924     19.59750    460.89400
     0.02000      5.99924     19.59750    460.89400
     0.04000      5.99925     19.59749    460.89461
     0.06000      6.57312     18.57701    527.72164
     0.08000     14.19162      8.92838   1657.01259
     0.10000     14.37864      8.74719   1691.22238
     0.12000     14.33542      8.74374   1691.31704
     0.14000     14.29405      8.73777   1690.88093
     0.16000     14.26444      8.73103   1690.25063
     0.18000     14.24866      8.72457   1689.62882
     0.20000     14.24548      8.71878   1689.08804
     0.22000     14.25149      8.71369   1688.63526
     0.24000     14.26206      8.70922   1688.25874
     0.26000     14.27255      8.70531   1687.94685
     0.28000     14.27967      8.70191   1687.69298
     0.30000     14.28216      8.69900   1687.49605
     0.32000     14.28072      8.69654   1687.35978
     0.34000     14.27732      8.69456   1687.29159
     0.36000     14.27433      8.69306   1687.30121
     0.38000     14.27384      8.69211   1687.39915
     0.40000     14.27744      8.69173   1687.59464
     0.42000     14.28648      8.69197   1687.89353
     0.44000     14.30264      8.69282   1688.29592
     0.46000     14.32873      8.69425   1688.79409
     0.48000     14.36945      8.69616   1689.37090
     0.50000     14.43204      8.69839   1689.99952
     0.52000     14.52668      8.70074   1690.64497
     0.54000     14.66650      8.70300   1691.26713
     0.56000     14.86718      8.70493   1691.82483
     0.58000     15.14597      8.70633   1692.28025
     0.60000     15.52018      8.70704   1692.60312
     0.62000     16.00528      8.70698   1692.77432
     0.64000     16.61267      8.70615   1692.78784
     0.66000     17.34757      8.70464   1692.65262
     0.68000     18.20739      8.70260   1692.39427
     0.70000     19.18070      8.70028   1692.03927
     0.72000     20.24776      8.69779   1691.65768
     0.74000     21.38073      8.69562   1691.24196
     0.76000     22.54806      8.69349   1690.94298
     0.78000     23.71319      8.69229   1690.62880
     0.80000     24.84459      8.69103   1690.58391
     0.82000     25.90790      8.69118   1690.46707
     0.84000     26.88338      8.69083   1690.72704
     0.86000     27.74702      8.69207   1690.77416
     0.88000     28.49626      8.69203   1691.18716
     0.90000     29.11861      8.69303   1691.08365
     0.92000     29.62347      8.69110   1690.86594
     0.94000     29.98306      8.69190   1687.61163
     0.96000     30.05140      8.72877   1669.13539
     0.98000     29.44563      8.88448   1606.98251
