t =     0.1527
           x          rho            u            p
    -1.00000      0.63783     -5.57191      0.58095
    -0.98000      0.60009     -5.52172      0.54255
    -0.96000      0.56156     -5.46850      0.50404
    -0.94000      0.52258     -5.41227      0.46573
    -0.92000      0.48350     -5.35310      0.42794
    -0.90000      0.44466     -5.29103      0.39097
    -0.88000      0.40642     -5.22611      0.35508
    -0.86000      0.36908     -5.15840      0.32052
    -0.84000      0.33295     -5.08795      0.28749
    -0.82000      0.29830     -5.01479      0.25620
    -0.80000      0.26536     -4.93899      0.22677
    -0.78000      0.23433     -4.86059      0.19932
    -0.76000      0.20536     -4.77962      0.17392
    -0.74000      0.17856     -4.69612      0.15063
    -0.72000      0.15400     -4.61012      0.12944
    -0.70000      0.13170     -4.52164      0.11033
    -0.68000      0.11166     -4.43069      0.09326
    -0.66000      0.09381     -4.33729      0.07815
    -0.64000      0.07809     -4.24144      0.06489
    -0.62000      0.06437     -4.14313      0.05338
    -0.60000      0.05253     -4.04235      0.04348
    -0.58000      0.04243     -3.93907      0.03506
    -0.56000      0.03390     -3.83325      0.02797
    -0.54000      0.02678     -3.72484      0.02207
    -0.52000      0.02091     -3.61380      0.01722
    -0.50000      0.01614     -3.50004      0.01327
    -0.48000      0.01229     -3.38349      0.01011
    -0.46000      0.00924     -3.26403      0.00759
    -0.44000      0.00685     -3.14155      0.00563
    -0.42000      0.00501     -3.01591      0.00411
    -0.40000      0.00361     -2.88694      0.00296
    -0.38000      0.00256     -2.75446      0.00210
    -0.36000      0.00178     -2.61824      0.00146
    -0.34000      0.00122     -2.47803      0.00100
    -0.32000      0.00082     -2.33353      0.00068
    -0.30000      0.00054     -2.18438      0.00045
    -0.28000      0.00035     -2.03017      0.00029
    -0.26000      0.00022     -1.87042      0.00018
    -0.24000      0.00014     -1.70451      0.00011
    -0.22000      0.00008     -1.53174      0.00007
    -0.20000      0.00005     -1.35128      0.00004
    -0.18000      0.00003     -1.16561      0.00002
    -0.16000      0.00001     -0.97387      0.00001
    -0.14000      0.00001     -0.76562      0.00001
    -0.12000      0.00000     -0.53469      0.00000
    -0.10000      0.00000     -0.33488      0.00000
    -0.08000      0.00000      0.23435      0.00000
    -0.06000         -nan         -nan         -nan
    -0.04000         -nan         -nan         -nan
    -0.02000         -nan         -nan         -nan
     0.00000         -nan         -nan         -nan
     0.02000         -nan         -nan         -nan
     0.04000         -nan         -nan         -nan
     0.06000      0.00000     -0.22946      0.00000
     0.08000      0.00000      0.33398      0.00000
     0.10000      0.00000      0.53517      0.00000
     0.12000      0.00001      0.76592      0.00001
     0.14000      0.00001      0.97404      0.00001
     0.16000      0.00003      1.16570      0.00002
     0.18000      0.00005      1.35133      0.00004
     0.20000      0.00008      1.53177      0.00007
     0.22000      0.00014      1.70452      0.00011
     0.24000      0.00022      1.87042      0.00018
     0.26000      0.00035      2.03018      0.00029
     0.28000      0.00054      2.18438      0.00045
     0.30000      0.00082      2.33353      0.00068
     0.32000      0.00122      2.47803      0.00100
     0.34000      0.00178      2.61824      0.00146
     0.36000      0.00256      2.75446      0.00210
     0.38000      0.00361      2.88694      0.00296
     0.40000      0.00501      3.01591      0.00411
     0.42000      0.00685      3.14155      0.00563
     0.44000      0.00924      3.26403      0.00759
     0.46000      0.01229      3.38349      0.01011
     0.48000      0.01614      3.50004      0.01327
     0.50000      0.02091      3.61380      0.01722
     0.52000      0.02678      3.72484      0.02207
     0.54000      0.03390      3.83325      0.02797
     0.56000      0.04243      3.93907      0.03506
     0.58000      0.05253      4.04235      0.04348
     0.60000      0.06437      4.14313      0.05338
     0.62000      0.07809      4.24144      0.06489
     0.64000      0.09381      4.33729      0.07815
     0.66000      0.11166      4.43069      0.09326
     0.68000      0.13170      4.52164      0.11033
     0.70000      0.15400      4.61012      0.12944
     0.72000      0.17856      4.69612      0.15063
     0.74000      0.20536      4.77962      0.17392
     0.76000      0.23433      4.86059      0.19932
     0.78000      0.26536      4.93899      0.22677
     0.80000      0.29830      5.01479      0.25620
     0.82000      0.33295      5.08795      0.28749
     0.84000      0.36908      5.15840      0.32052
     0.86000      0.40642      5.22611      0.35508
     0.88000      0.44466      5.29103      0.39097
     0.90000      0.48350      5.35310      0.42794
     0.92000      0.52258      5.41227      0.46573
     0.94000      0.56156      5.46850      0.50404
     0.96000      0.60009      5.52172      0.54255
     0.98000      0.63783      5.57191      0.58095
